,artist_id,artist_name
806,2949,高原
807,2858,郭小霖
808,3210,慧普法师
809,3166,黄鹤翔
810,3311,海生
811,3175,含笑
812,3576,金玥
813,1036002,Jadry
814,190079,家家
815,995003,净土Pure Land
816,3591,甲雍
817,1087492,Grenadn
818,3000,耿为华
819,2869,古皓
820,2880,郭虔哲
821,2854,郭英男
822,3261,浩瀚
823,860039,胡洋
824,3291,何龙雨
825,3276,何晟铭
826,3530,基地小虎
827,3482,焦恩俊
828,3511,蒋月泉
829,789698,贾杰
830,2910,郭桂彬
831,3002,管呆
832,839567,GZ
833,190012,怪兽
834,2889,苟伟
835,3154,洪荣宏
836,3158,荒山亮
837,3426,贺国丰
838,3142,洪俊扬
839,1063182,胡欣
840,3557,贾卿卿
841,1047010,叫兽易小星
842,3492,蒋国基
843,1060009,JIANG.x
844,3606,简广易
845,1132304,郭好为
846,861441,GBZ
847,4443,刘光蕊
848,3003,高阳
849,2994,尕让邓真
850,3216,郝歌
851,3124,侯志坚
852,3101,黄鸿升
853,11758,花伦
854,3564,金城
855,3449,金武林
856,3532,金木
857,1011198,江生
858,3506,金波
859,1053246,郭纯
860,2902,高见
861,2954,高峰
862,2898,顾建华
863,3136,黄蒙拉
864,3074,杭天
865,3088,黄家伟
866,839761,何流
867,3455,季忠平
868,3549,金韩一
869,1039850,龚硕
870,2979,格杰白玛
871,2971,高登
872,3122,高自成
873,787002,华少
874,1077005,黄洋
875,3287,侯宝林
876,1018008,杭航
877,1132606,蒋贡康楚仁波切
878,1049680,吉克曲布
879,3578,酒吧伤心人
880,3518,计镇华
881,3424,黄平
882,916025,和汇慧
883,3353,胡小宝
884,1068009,前后动机直升机组合
885,3095,黄子华
886,3521,姜洋
887,747137,Jocey
888,1039907,金杨
889,3465,江天
890,1039055,MC井宁
891,1046056,井盖儿
892,1015644,Jasing Rye
893,3467,蒋才如
894,3596,金镇
895,3593,金山
896,1063007,居来
897,1047064,KBShinya
898,3617,柯有伦
899,3658,克尔曼
900,3616,KenT
901,686006,康康
902,3627,康康
903,3654,柯震东
904,3614,柯受良
905,862058,卡修Rui
906,3641,凯撒
907,991002,柯智棠
908,1135192,A-Tong
909,868001,KillerBlood
910,3640,Kz
911,3619,孔令奇
912,3672,柯暮卿
913,1019172,凯玟桑
914,1132451,柯大堡
915,1019155,孔垂楠
916,1088051,KB
917,3624,孔祥东
918,3651,KT
919,3649,昆虫白
920,3643,Kositu
921,1043220,Killazer
922,1060093,Keyshawn&nbsp;Binean
923,3660,柯皓燃
924,3667,BaBur
925,3621,克里木
926,1047200,Foobar
927,3662,轲然
928,5980,阚立文
929,911042,康硕Kenny
930,758285,Karma Kid
931,3620,孔宏伟
932,3630,空气球
933,1161004,开松法师
934,1039757,孔熙俊
935,1050531,K_izum
936,1038242,堪布贝玛千贝仁波切
937,3665,Orientlic&nbsp;Beats
938,1079139,卡列宁
939,3628,康克菲
940,3635,KuKi.W
941,1046036,口琴ok
942,1039553,K'桑
943,3625,卡卡
944,994003,开鹏程
945,222404,卡斯Kas$
946,961279,孔一兵
947,1132845,K.邵庄
948,1038406,KhalilWonger
949,1099008,KNXER
950,3644,坤鹏
951,1043127,康小白
952,3631,邝祖德
953,787062,Knife Lee
954,832242,匡萃龙
955,1050581,Ray3
956,3623,康万生
957,3626,柯羽
958,818247,阚杰
959,991229,肯别
960,3680,亢帅克
961,3642,康然
962,3639,恐龙李
963,935234,K3NT
964,3646,科尔沁夫
965,3618,康贤
966,3657,孔朝
967,1044036,Kael 鹿帆
968,999157,Katana_4real
969,3638,孔锵
970,3661,开克尔曼尼
971,3636,Know Hope Collective
972,3655,孔朝晖
973,975230,咖啡杯里的茶
974,1094139,Ken-Ming Yang
975,1124332,吕先生
976,1081307,狂奔的萝卜
977,1132707,Makino
978,1040055,Kona.Y
979,3622,康乔
980,1050484,寇瑞
981,3670,康梓峰
982,1049872,Kalen
983,1050287,King@C AllStar
984,1049889,凯歌
985,1084021,KH
986,1028042,zpan
987,1041071,空悟
988,1043285,kico
989,1069015,杨文博Poe
990,934041,寇跃
991,1081974,Koowho
992,1039049,康斌 
993,3677,康茜
994,221857,KuKi
995,1081026,匡鹏
996,1081017,苦啤酒
997,3684,林俊杰
998,4292,李荣浩
999,3681,李志
1000,3695,李健
1001,3699,李克勤
1002,3691,刘德华
1003,3682,老狼
1004,3683,李宗盛
1005,4592,马頔
1006,4483,麦浚龙
1007,4479,MC Hotdog
1008,12413,慕寒
1009,4480,马条
1010,3685,林宥嘉
1011,3694,罗志祥
1012,3765,李易峰
1013,3722,梁汉文
1014,3689,李玖哲
1015,1050611,M-PHOTOS
1016,4569,麦振鸿
1017,896927,莫西子诗
1018,4486,毛宁
1019,190349,NL不分
1020,4672,倪安东
1021,1049392,宁夏
1022,980113,宁桓宇
1023,3702,林峯
1024,3692,林志炫
1025,1038093,鹿晗
1026,3693,林海
1027,4485,马天宇
1028,4619,马旭东
1029,4488,满文军
1030,188141,满舒克
1031,842005,马飞
1032,804367,南城二哥
1033,4662,南风
1034,990051,泥鳅Niko
1035,4678,南宫嘉骏
1036,3706,林子祥
1037,3705,李圣杰
1038,1156241,罗凯楠
1039,3688,刘欢
1040,1156176,孟可
1041,1041010,买尔旦
1042,1049093,MILLAN
1043,1043199,MC-5
1044,985227,南风ZJN
1045,1027039,暖场小粽子
1046,1019301,宁林
1047,1001005,牛牛
1048,4666,聂禹
